Author,Date,Text
Lili,2019-11-17 23:15:45,Omg dude. I love you
𝑪𝒂𝒓𝒐,2019-11-17 23:15:32,AWEBOOO
Bipolar,2019-11-17 23:15:23,Te amo drake bell
i love my novia🦋,2019-11-17 23:14:09,Aight then
Lupita🇲🇽,2019-11-17 23:13:55,Gracias Drake 
Allen Reinhardt,2019-11-17 23:11:52,"Yeah why tf @DrakeBell get two?? Mf ain’t about shit except being a super fan, in that case can I get six rings for the lakers??"
Sheila purdy,2019-11-17 23:11:35,Hey my prince@Drakebell i love you and I always will love you you got fans out here in America like Stoneville NC and Greensboro NC but you want come out here to North Carolina i am pound of you but I don't speak Spanish and i don't understand why you always go there and not here
Synthetic Drugs. 🎠,2019-11-17 23:09:52,Only i can say is:pic.twitter.com/dzZNKrVTZR
gianfranco torcasio,2019-11-17 23:09:40,"@DrakeBell I love you, man. pic.twitter.com/SF51FOACRM"
joc,2019-11-17 23:08:30,Does this have to do with Mexico having your back when @ItsJoshPeck didn’t invite You to his wedding?
el Maru,2019-11-17 23:07:47,Aweboo
GLDNPRRO,2019-11-17 23:07:15,I'll be speaking english instead drake bell.
uɐʌǝʇsƎ @ #ClimateAction,2019-11-17 23:06:57,"That scene’s awesome

should I mention now or later that it’s Drake Bell and Roger Craig Smith talking"
sam,2019-11-17 23:05:41,Drake bell from Drake and josh
Starhe 🌼,2019-11-17 23:05:08,Drake campanaaaaa XD 
Miguel Angel Mendoza,2019-11-17 23:04:32,Genial
CENAIDA KILOS 💎,2019-11-17 23:02:17,Fue Evo al Latin Music Awards?
Andrés R Retana,2019-11-17 23:00:22,"I understand but, normally every USA citizen thinks north America is only USA, maybe they never had a world map, so sad!

Braking news! North America = Alaska, Canada, USA and Mexico, all in that order."
• c a r o l i n a •,2019-11-17 23:00:17,It's ok 
A L A N A 🇲🇽,2019-11-17 22:59:35,US stole us Texas so now we took @DrakeBell away from them https://twitter.com/drakebell/status/1196083107671068672 …
Jesús Rodriguez,2019-11-17 22:59:16,Real?pic.twitter.com/UGLTLR3IuV
𝑀𝑎𝑥𝑖𝑛𝑒,2019-11-17 22:58:49,Drake Bell is the only man I stan https://twitter.com/drakebell/status/1196083107671068672 …
Diego Cruz,2019-11-17 22:58:44,Love you so much bro
El Farid 16,2019-11-17 22:58:11,"Eres grande Drake,te amo Drake."
Noche de Luna,2019-11-17 22:57:54,Sounds good @DrakeBell https://twitter.com/drakebell/status/1196083107671068672 …
Dani,2019-11-17 22:55:37,Drake Bell besto husbando osiosi https://twitter.com/DrakeBell/status/1196083107671068672 …
gladsu,2019-11-17 22:54:16,And now? Anti-english 
"El conchetumare regresará, pronto",2019-11-17 22:53:51,top 1 momentos gamer
Laura Cardona,2019-11-17 22:53:51,@DrakeBell grande drake  pic.twitter.com/Yndo7krij1
Alexander Flores M.™🏁,2019-11-17 22:52:57,Oh my God!
Valeria Segovia,2019-11-17 22:52:49,Pero drake bell
Erick Christensen,2019-11-17 22:52:12,Makes 2 of us!
rocio vazquez,2019-11-17 22:52:03,Mmm Mexico is part of North America...pic.twitter.com/vy75P2pQYj
🧸🧸🧸,2019-11-17 22:51:37,YESSIR
; Eli.,2019-11-17 22:51:15,"No Twice, no life"
Manuel Scaccia,2019-11-17 22:49:56,Grande Drake
Pato,2019-11-17 22:49:44,"No shit, Sherlock"
emily 🌙☀️,2019-11-17 22:49:26,"Literally no one:

Drake Bell like...eight years later: https://twitter.com/DrakeBell/status/1196083107671068672 …"
🍑,2019-11-17 22:49:07,North America is not a continent.  First learn some geography and then learn spanish y chinga tu madre
BOOBOO💕🐱,2019-11-17 22:48:55,Love drake
Alex01800,2019-11-17 22:48:11,North América is nota considered as a continent its more used to ubícate some countries like when we Say Ocident europe ir stuff like that
Sulema salas,2019-11-17 22:47:56,So sweet as Hispanic we love you and Mexico loves you too @DrakeBell https://twitter.com/DrakeBell/status/1196076004697001985 …
wally wanderer,2019-11-17 22:47:45,Drake bell lopez pic.twitter.com/Rpu0lPzE5l
clor,2019-11-17 22:47:00,drake bell
Guillermo,2019-11-17 22:46:10,"North America has 3 countries including Mexico ,"
✨🍭🍩🦄 мαzαραη 🦄🍩🍭✨,2019-11-17 22:45:29,Super yunior resumido en un tuit de Drake Bell https://twitter.com/DrakeBell/status/1196154052460941317 …
🇨🇷 D I A N A || ダイアナ 🇯🇵,2019-11-17 22:42:55,Crack
Roberto Mateos Cantú,2019-11-17 22:42:34,Why my friend
celeste,2019-11-17 22:40:04,"It all depends on education, most Hispanics are taught that there are only 5 continents, but North Americans are taught that there are 7, including North and South America.

( i dont speak english very well, i hope that you understand)"
Juancho Juancho,2019-11-17 22:39:40,Grande
Erik,2019-11-17 22:38:53,Te amo Drake Bell 
CamiloGR92,2019-11-17 22:38:24,"I am from the American continent.... I am American. 
-* But I am not E. E. U. U. "
Esme💫 #WeMadeIt es vida.,2019-11-17 22:38:23,"Eres bien soft, *cries in spanish* "
Frι мιѕѕeѕ loυιѕ ◟̽◞̽,2019-11-17 22:37:12,Okis
Apolonio,2019-11-17 22:35:34,"Actually North America is composed by three countries, USA, Canada and Mexico"
Noah Cyrus-Chalamet,2019-11-17 22:35:24,"i am death at drake bell's random popularity in latin america

fun fact when i moved to the US circa 2009 whenever people talked about drake i thought they meant bell lmao

https://www.youtube.com/watch?time_continue=18&v=xUZy54PjisM&feature=emb_logo …"
El Duque,2019-11-17 22:35:16,"El Car Seat Headrest se parece a Drake Bell, lol"
Jerrrr.my,2019-11-17 22:35:05,“North America is a continent” tf hhahha 
Maar 🦋💖,2019-11-17 22:34:24,“North America is a continent” did you take classes with Justin Bieber?
Jamie ⚡️,2019-11-17 22:33:52,USA took Texas away from us but we took drake bell https://twitter.com/drakebell/status/1196083107671068672 …
Evelyn Paige Sebell,2019-11-17 22:32:34,What
Nicole Mecalco,2019-11-17 22:32:03,Achis achis los mariachis!
리 호신 🐝,2019-11-17 22:31:53,a legend indeed
🍉Grace🍉 STREAM WATERMELON SUGAR,2019-11-17 22:31:50,No merecemos a Drake Bell. https://twitter.com/drakebell/status/1196154052460941317 …
CamiloGR92,2019-11-17 22:30:42,And 3.The American continent is made up of 35 countries. Regards
Abby,2019-11-17 22:30:07,What does this mean
CamiloGR92,2019-11-17 22:29:25,"1.North America is a country.
2. The American continent is divided into three parts:north america, Canadá and E. E. U. U.
Central America : mexico, panama, Colombia.. And south america : Brasil, Argentina, chille..."
¡sabellA,2019-11-17 22:27:41,stan drake bell https://twitter.com/DrakeBell/status/1196083107671068672 …
kayla💘,2019-11-17 22:27:28,did drake bell get hit in the head or is he really deleting all of his english comments on his latest instagram post
2837329,2019-11-17 22:26:59,Webos
Yame 🇲🇽💙,2019-11-17 22:25:00,Igual que Drake Bell xD
Paula Rivas,2019-11-17 22:24:57,@DrakeBell wacha esto!  Look this! pic.twitter.com/IHWAMw36tB
Sebastianrembao10@hotmail.com,2019-11-17 22:24:46,@DrakeBell You are Mexican Now pic.twitter.com/SZEuciB6Bf
Rafael RD,2019-11-17 22:22:43,What happenedpic.twitter.com/CVIAo8r0eN
Cesar Morrison©️,2019-11-17 22:20:06,"Guaaat...

"
Aoni de Sagitario,2019-11-17 22:19:47,Drake Campana
nicolas lastra,2019-11-17 22:18:32,@DavidDobrik @ItsJoshPeck @DrakeBell  this is getting g out of hand now.  https://twitter.com/womanvscat/status/1196112755264294915 …
Michelle González,2019-11-17 22:18:01,Bravooooo weeee 
fan,2019-11-17 22:17:31,El drake pic.twitter.com/gA5rF1PNsU
🅼🅰🅸 🎀,2019-11-17 22:17:16,Genial @DrakeBell 
☁,2019-11-17 22:15:46,Mood con este tweetpic.twitter.com/RGb5PwIGgX
Daniel Herrera,2019-11-17 22:12:50,Drake Bell https://twitter.com/drakebell/status/1196083107671068672 …
pris,2019-11-17 22:12:36,OMG Drake Bell ya trolea como Mexicano  https://twitter.com/frasesEs2/status/1196085237903691776 …
Killua Binero,2019-11-17 22:11:36,Es premium?
「 cable 」†,2019-11-17 22:10:35,"Drake Bell, mexicano ley. pic.twitter.com/f9SIORXIYy"
Yoni kurniawan,2019-11-17 22:10:35,"nice try
@AdamParkhomenko
@antanddec
@joshtpm
@DrakeBell
@IlhanMN"
Isela,2019-11-17 22:10:24,Voy a stanear a Drake Bell
giovanny mosquera,2019-11-17 22:09:39,Shit!!!!
Edwin sanchez,2019-11-17 22:09:38,"That's man is so VERGON.
As a Salvadorean would say."
Cecilialujano,2019-11-17 22:07:50,See you soon doing well
JO,2019-11-17 22:07:26,"North America is NOT a continent, as it says ""North"" America.
America is the continent.
North America: Alaska, Canada, Mexico.
Central America.
South America.
Each region together makes AMERICA.

=)"
laulaulau🏴,2019-11-17 22:07:20,Oye tranquilo viejo >>>>> whatever you actually said in english
DaanPe♡,2019-11-17 22:06:53,You are the best 
Enrique Santos,2019-11-17 22:06:32,"Heyy do not worry, you didn't say it wrong, you do not have to apologize! I'm latino I think most people are just messing around or ignorant (as we all are)! :))"
Cecilialujano,2019-11-17 22:05:56,I will always support you 
Julio Caesar,2019-11-17 22:05:41,OMg Te amo Holly <3
Bootsnee Lee Farnsworth,2019-11-17 22:01:17,Treason
I'mVenom,2019-11-17 22:00:31,Genial 
Hanzel Newcastle,2019-11-17 21:59:52,"Hey Drake, I'm Mexican, live near from Mexico City I made a song by myself, hope you could listen to it. https://youtu.be/5nROcIay49o "
Alex Miranda,2019-11-17 21:59:46,"an apology if they attack you, I don't know if I can speak for everyone, but then they take everything very seriously, but calm down, you are a good person very successful.
:), 
greetings from Mexico."
pao Hrdz,2019-11-17 21:59:17,Teamoo!pic.twitter.com/dIKEyXOr5r
Walter GZ,2019-11-17 21:57:39,You should take @DrakeBell and @ItsJoshPeck back for a new season of Drake & Josh.
MiRaNdA,2019-11-17 21:57:33,Amo mucho a Drake Bell  https://twitter.com/drakebell/status/1196083107671068672 …
Diani G',2019-11-17 21:57:23,Al fin 
Paulina,2019-11-17 21:57:00,Ok Drake Campana
christian sandoval,2019-11-17 21:56:38,Crack
тαnуα,2019-11-17 21:55:38,People are crazy reactive... If they want to get fired up its on them girl. Pay them no mind.
Lola Malbor,2019-11-17 21:55:20,Drake Bell  pic.twitter.com/PBsMAbBCis
Gerardo Hernandez,2019-11-17 21:55:08,@DrakeBell The Mexican pic.twitter.com/okjOJBnY8Z
Gooreum_namu,2019-11-17 21:54:31,@DrakeBell When is a collaboration with a kpop group like Monsta X or AB6IX? 
Titanium Stylus,2019-11-17 21:52:27,Fuck me please 
Fabricio Cerna Salazar,2019-11-17 21:52:13,Okay.
L⁴A⁴ 🅱️R⁴U⁴J⁴A C⁴Ó⁴S⁴M⁴I⁴C🅰️ (ведьма),2019-11-17 21:49:57,Fake
❧ 𝑳𝒐𝒗𝒆𝒍𝒚 𝑱. * . ° ~,2019-11-17 21:49:49,Intellectual
@AlondraBell27,2019-11-17 21:49:28,Holly
✖,2019-11-17 21:49:06,Drake campana
Dyane Ulloa D.,2019-11-17 21:47:48,"I knew it was intentional but that is not the right way to do it, honey.
Sorry. "
Toby0895,2019-11-17 21:46:46,"Actually north América its just the north side of american. Its composed by Mexico, united states and Canada. 
America is the whole continent formed by North, South and central America.  
Dunno how they are divided geographically by usonians but that is the correct division."
♥ℛeneé Zeta,2019-11-17 21:43:38,Please you should have the mexican nationality @DrakeBell https://twitter.com/tvtelehit/status/1194807423703359490 …
Dyane Ulloa D.,2019-11-17 21:43:38,"North America is a continent... Furthermore, gurl, not only people from US speak 2 languages or more, you should check Google again .
@DrakeBell no le hagas caso a la chusma. "
ANGY MISSES LOUIS.,2019-11-17 21:42:44,"Yes, daddy"
Ale Sales,2019-11-17 21:41:29,"Bye Drake Bell, hola Drake Campana"
sunshine,2019-11-17 21:40:50,-Drake Campana
Quikin SH,2019-11-17 21:39:16,Wowo brother 
Marcos Rivera,2019-11-17 21:38:57,Whatever happened to the new show @DrakeBell and @ItsJoshPeck were working on together??
felipe•,2019-11-17 21:38:48,drake bell la vida
Sergio Yahir 🇲🇽,2019-11-17 21:38:36,grande 
giovanny gallardo,2019-11-17 21:37:34,Drake bellasquez
Jorge Tapia,2019-11-17 21:37:12,Why perro?
sadiel leon,2019-11-17 21:36:06,Me too
SaSha (  °-°),2019-11-17 21:35:55,I love You 
Iván (Nows),2019-11-17 21:34:57,super
Guillermo RamBoh,2019-11-17 21:34:17,Achis!pic.twitter.com/CdRZdo2j2O
SATA 3.0,2019-11-17 21:31:17,Bien waso
Jonh Black,2019-11-17 21:31:14,"Hey Girl América is a Continent, North América is a part from América, isn’t a Continent.
Haha I’m Mexican, and i was learn english, i thinking that learn español is not bad for you. peace and love "
sureño 🇲🇽 Mexico/Arkansas,2019-11-17 21:30:36,Drake Bell es cagada
Echo Orcool | Amor Verdadero nos une por siempre,2019-11-17 21:30:11,"Drake, Hermano, Ya eres Mexicano!
Drake Bell is just so cool. I love this guy. https://twitter.com/DrakeBell/status/1196083107671068672 …"
Alan Mendez,2019-11-17 21:29:39,Ooo Yea!!
:$,2019-11-17 21:27:45,Wtf bro
Jenny,2019-11-17 21:25:56,I think you were Hispanic in your past life 
ⓐⓛⓔⓧ ⓛⓞⓟⓔⓩ ⓐⓒⓔⓡⓞ,2019-11-17 21:24:40,Chingon!
WilchesMaría⚡️,2019-11-17 21:24:11,¿Amo a Drake Bell? Amo a Drake Bell https://twitter.com/drakebell/status/1196083107671068672 …
|⛅|·,2019-11-17 21:23:56,Quiero stannear a Drake Bell
mariana perez,2019-11-17 21:23:20,@DrakeBell When will you go back to mexico?
karen salazar Kuri,2019-11-17 21:23:03,Si Nice Drake Bell
liz🤠,2019-11-17 21:19:54,Reasons why I stan:
Ｉｓａ♕,2019-11-17 21:18:44,Altas ganas de stannear a Drake Bell 
J. Styles ◟̽◞̽,2019-11-17 21:17:22,Actually Notpic.twitter.com/F4VFUO5GX3
Realcatboy214,2019-11-17 21:17:10,Mas put
taco de asada,2019-11-17 21:17:06,Goodbye my mexican love
𝓐𝓵𝓮𝔁𝓪𝓷𝓭𝓻𝓪,2019-11-17 21:16:34,Cool
⛓️Creatorlings,2019-11-17 21:15:21,"I mean, not only are the United States ""American"" but the whole continent"
M I K E S A N C H E Z,2019-11-17 21:14:40,"I love You @DrakeBell, que diga, te amo @DrakeBell . "
Mayra Ramirez,2019-11-17 21:14:23,Genial 
agustina // LIGHTS UP,2019-11-17 21:14:09,didnt say otherwise. I just said AMERICANS do speak Spanish too.
Juanjooo,2019-11-17 21:13:23,"If you don't sell me your application motherfucker, you gonna charge the big balls. Thank you very much."
Mady,2019-11-17 21:13:06,"Love it live  @DrakeBell
https://youtu.be/IHPTi-SX_2s "
Lieutenant General Sir Oliver Daddy Warbucks,2019-11-17 21:13:05,im rocking out w headphones on. every1 at starbucks probably thinks im listening some rock group but rlly im bumping one out to leave it all to me by miranda cosgrove & drake bell
Dany_always.-. 🇲🇽,2019-11-17 21:12:42,"You can't be Latina if you don't known Spanish... Bc a person who speaks Spanish or one of the romance languages, such as Portuguese or French, is called a Latin person... If u don't speak any language of that... You're NOT Latina."
Brittanny segura,2019-11-17 21:11:20,*Mexican people dominating the world*pic.twitter.com/QRC6Q0iowe
ian krysztoff,2019-11-17 21:11:08,A true gentleman @DrakeBell pic.twitter.com/Jb4zXqeTIF
Lyon,2019-11-17 21:11:04,Quien es Drake bell ??
Mxx,2019-11-17 21:10:52,Nice
Karen,2019-11-17 21:09:59,Que pongan Drake y Josh en Netflix!
DarkB,2019-11-17 21:09:51,Saaaa pinshe moleeeee
ツcя¡รт¡คห คłεx¡ร ꧂,2019-11-17 21:08:48,How good
👁,2019-11-17 21:08:41,I love you
ツcя¡รт¡คห คłεx¡ร ꧂,2019-11-17 21:08:30,That's cool
Justine Salisbury,2019-11-17 21:08:27,He loves everyone! No matter the language barriers. 
B. 🇲🇽,2019-11-17 21:08:02,Que clase de HARRY Styles eres? 
Edward Monge,2019-11-17 21:07:22,"America is the name of the continent which is divided in North America, central America and South America"
S4M✨,2019-11-17 21:06:34,Facebook: Kpop Obsession @DrakeBell @BTS_twt @x1members @NCTsmtown_127 @NCTsmtown_DREAM @CIX_twt @AB6IX_MEMBERS @official_ONEUS @official_ACE7 @TXT_bighitpic.twitter.com/ioMNwhToRV
ᵇᵃᵇᵉ💜,2019-11-17 21:06:22,Drake capo
Sofía,2019-11-17 21:05:51,You rock @drakebell
Bow,2019-11-17 21:05:51,Drake Bell es la verga.
dani,2019-11-17 21:05:12,Voy a comenzar a stanear a Drake Bell.
✰👼🏻scay,2019-11-17 21:05:05,OH MY FUCKING VINEOH MY FUCKING LIFEespere esto desde hace 8 años
Edgar,2019-11-17 21:03:35,Oh My god 
Carlos,2019-11-17 21:03:12,"Okay, very well... ok Mrs. Pancho"
dan ◟̽◞̽,2019-11-17 21:02:55,we stan a kind person
Lore Tovar🌻,2019-11-17 21:01:35,"Don't worry, they are not the only country in the world. Pace y love "
.,2019-11-17 21:01:26,"Hiii, I teach you Spanish"
Snap🦁,2019-11-17 21:00:55,"America is the continent, you are a USA people or USER or gringa xd"
.,2019-11-17 21:00:42,drake bell te amo
Ángel Gallegos,2019-11-17 21:00:08,Drake Campana.
Abdullah Khan 😎 📺,2019-11-17 20:58:40,1 of the best scenes of the movie also I just realised Drake Bell is not the only Spider-Man vet in Superhero movie cus that cop was played by Keith David himself! aka 1st voice of Tombstone from TSSM and FBI Agent Mosley in Spider-Man: TNAS pic.twitter.com/UN4SFx28AG
Lorena,2019-11-17 20:57:46,ah oks
vico de sade,2019-11-17 20:56:42,"Very chingon , very cabron"
Lupita Flores,2019-11-17 20:56:25,"Nosotros a ti, See you soon Drake!"
𝓭 💗,2019-11-17 20:55:44,latino king
Yassir Furry 🌻,2019-11-17 20:55:42,Drake es grande 
Karen▪︎Vega 🇲🇽,2019-11-17 20:55:19,You don't worry be happy departe de los mexicanos es puro mame 
Moonlightbae.,2019-11-17 20:55:10,"That's not fair, you have fans that only speak English, I speak English and Spanish but I think you need to show bilingual style not just one."
PAMEELAAAA,2019-11-17 20:55:03,Te amo Drake Bell Lopez
danielcoila,2019-11-17 20:54:51,cereal?
Frida Sofia,2019-11-17 20:54:32,Oh maaaa godddddd
El loco de la Sombrilla amarilla,2019-11-17 20:54:14,@DrakeBell mr  you should know this pic.twitter.com/aYRRaPP717
Ashley Carter,2019-11-17 20:53:51,I’m gonna speak in English if I want to. Don’t be an asshole.
[redacted],2019-11-17 20:53:12,Drake Bell singing in Spanish? I’m shook.
🌸,2019-11-17 20:53:06,Did you know that aaaaaall these countrys are... “AMÉRICA”?pic.twitter.com/q5EVEFoR20
MonRosalesBlackthorn,2019-11-17 20:52:33,America is more than USA.
⚡️zuɐ˥ oʇǝq ❌,2019-11-17 20:49:55,Why? No te sigo...but why?
Mr. Mario Reynoso,2019-11-17 20:49:50,It's called know your audience. Vdd miss?
Carlos,2019-11-17 20:49:20,Don't suck
palo◟̽◞̽ 🍉,2019-11-17 20:49:17,we stan
Gato Rambo,2019-11-17 20:48:24,"Hey Drake Bell, Kika te ama  https://twitter.com/DrakeBell/status/1196083107671068672 …"
molls,2019-11-17 20:47:18,drake bell saw weezer last night and I’m not sure what to make of it
dizzy,2019-11-17 20:47:11,Drake campana?
mauro giovanni,2019-11-17 20:47:00,Music ID?
José Luis H. Bridat,2019-11-17 20:46:55,Follow
ramsesbeans,2019-11-17 20:46:49,crack
𝑌𝑒𝑜𝑛,2019-11-17 20:46:25,I NEED A DRAKE BELL IN MY LIFE
Les◟̽◞̽ We Made It,2019-11-17 20:46:14,Teamoo
"not stupid, 𝕯𝖚𝖒𝖇",2019-11-17 20:45:59,I wanna be like drake bell
Cris L. 🐱,2019-11-17 20:45:59,Nice
L-Jayy ,2019-11-17 20:44:51,lmao good luck
justine,2019-11-17 20:44:32,"@DrakeBell over here trying to be all cultural and shit, I love it"
.,2019-11-17 20:43:03,Grande!!!
Ivon,2019-11-17 20:42:40, genial.
No Name,2019-11-17 20:42:21,"Why does a meme have to make a problem for a politically correct concept? I don't consider it offensive (it doesn't offend me, explain to me why it's offensive)"
jimmy vela,2019-11-17 20:42:07,Hahahaha I’m very wel mister yo
𝙥𝙞𝙡𝙪 ♡ 𝔽𝕀ℕ𝔼 𝕃𝕀ℕ𝔼 ♡,2019-11-17 20:42:00,....STAN DRAKE BELL https://twitter.com/DrakeBell/status/1196083107671068672 …
Sugar Dunkerton,2019-11-17 20:41:03,Stfu actin like Drake Bell didn’t absolutely tear up the Drake & Josh theme song. Now go sit in the corner and think about what you did
"Ministro Consejero Del Reich, Alexander Osnaebruck",2019-11-17 20:40:42,I need you in my bed @DrakeBell. https://twitter.com/DrakeBell/status/1196083107671068672 …
Angie Rmz,2019-11-17 20:40:07,You were never a good singer? YOU WERE THE BEST!  and still.
Pancracia,2019-11-17 20:39:46,Holaa bbe
blue,2019-11-17 20:39:33,Me declaro fan de Drake Bell
Iván,2019-11-17 20:38:00,sit down ma'am
ATENAS_KURCZYN❤️,2019-11-17 20:37:49,Cool 
Armando Agustin,2019-11-17 20:37:48,Genial
Brendαn Musα,2019-11-17 20:36:58,Bien lindo Drake 
Alexandra,2019-11-17 20:35:58,We love u
Diana,2019-11-17 20:35:48,Te amamos drake bell 
ia (temp),2019-11-17 20:35:22,"damn then, you’ll be getting me through gcse spanish. gracias."
popeye,2019-11-17 20:34:12,Mexicano bitch
val,2019-11-17 20:34:00,ok Taco Bell
Efraín,2019-11-17 20:33:40,"Oh, darling "
